source_file,authors,year,title,venue,doi
14.txt,"Marco Volino, Armin Mustafa, and Peter Vangorp (Eds.)",2023,Proceedings of the 20th ACM SIGGRAPH European Conference on Visual Media Production,"Association for Computing Machinery, New York, NY, USA",
14.txt,"Shifan Xu, Connor T. Hann, Ben Foxman, Steven M. Girvin, and Yongshan Ding",2023,Systems Architecture for Quantum Random Access Memory,Proceedings of the 56th Annual IEEE/ACM International Symposium on Microarchitecture (MICRO '23),https://doi.org/10.1145/3613424.3614270
14.txt,"Niloy Saha, Mina Tahmasbi Arashloo, Nashid Shahriar, and Raouf Boutaba",2026,Dynamic SLA-aware Network Slice Monitoring,Proc. ACM Meas. Anal. Comput. Syst.,https://doi.org/10.1145/3788090
14.txt,"Eduard Cristobal-Fransi, José Ramón-Cardona, Natalia Daries, and Antoni Serra-Cantallops",2021,Museums in the Digital Age: An Analysis of Online Communication and the Use of E-Commerce,J. Comput. Cult. Herit.,https://doi.org/10.1145/3464977
14.txt,"Yunting Song, Riccardo Fellegara, Federico Iuricich, and Leila De Floriani",2021,Efficient topology-aware simplification of large triangulated terrains,Proceedings of the 29th International Conference on Advances in Geographic Information Systems (SIGSPATIAL '21),https://doi.org/10.1145/3474717.3484261
14.txt,"Boyuan Feng, Yuke Wang, Tong Geng, Ang Li, and Yufei Ding",2021,APNN-TC: accelerating arbitrary precision neural networks on ampere GPU tensor cores,"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis (SC '21)",https://doi.org/10.1145/3458817.3476157
14.txt,"Erik Brunvand, Alla Sheffer, and Michael Wimmer (Eds.)",2023,ACM SIGGRAPH 2023 Conference Proceedings,"Association for Computing Machinery, New York, NY, USA",
14.txt,"Zhongshi Jiang, Ziyi Zhang, Yixin Hu, Teseo Schneider, Denis Zorin, and Daniele Panozzo",2021,Bijective and coarse high-order tetrahedral meshes,ACM Trans. Graph.,https://doi.org/10.1145/3450626.3459840
14.txt,,2025,Proceedings of the 2025 11th International Conference on Communication and Information Processing,,
14.txt,,2024,"Proceedings of the 7th International Conference on Networking, Intelligent Systems and Security",,
14.txt,,2025,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,,
14.txt,,2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,,
14.txt,"Ginger Alford, Hao (Richard) Zhang, and Adriana Schulz (Eds.)",2025,Proceedings of the Special Interest Group on Computer Graphics and Interactive Techniques Conference Conference Papers,"Association for Computing Machinery, New York, NY, USA",
14.txt,,2024,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,,
14.txt,,2025,Proceedings of the ACM on Web Conference 2025,,
14.txt,Soon Ki Jung and Neil Dodgson (Eds.),2022,SIGGRAPH Asia 2022 Posters,"Association for Computing Machinery, New York, NY, USA",
14.txt,,2023,Proceedings of the 50th Annual International Symposium on Computer Architecture,,
14.txt,"Aitor Moreno, Alberto Jaspe-Villanueva, Imanol Muñoz-Pandiella, and Jorge Posada (Eds.)",2023,Proceedings of the 28th International ACM Conference on 3D Web Technology,"Association for Computing Machinery, New York, NY, USA",
14.txt,,2025,"Proceedings of the 2025 International Conference on Artificial Intelligence, Virtual Reality and Interaction Design",,
14.txt,,2024,Proceedings of the 2024 9th International Conference on Intelligent Information Technology,,
14.txt,,2026,"Proceedings of the 5th International Conference on Computer, Artificial Intelligence and Control Engineering",,
14.txt,,2025,"Proceedings of the 2025 5th International Conference on Computational Modeling, Simulation and Data Analysis",,
14.txt,,2024,Proceedings of the 32nd ACM International Conference on Multimedia,,
14.txt,,2025,Proceedings of the 2025 8th International Conference on Computer Information Science and Artificial Intelligence,,
14.txt,,2024,Proceedings of the 21st ACM International Conference on Computing Frontiers,,
14.txt,,2025,Proceedings of the Nineteenth ACM Conference on Recommender Systems,,
